groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	X01	X21	log2fold_21_01	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.A01.dexseq.txt	countData.A21.dexseq.txt	countData.B01.dexseq.txt	countData.B21.dexseq.txt	transcripts
ENSMUSG00000032366.15:E016	ENSMUSG00000032366.15	E016	312.491481968868	0.00147438804115208	0.30077813534831	0.583395010581395	0.879007250057538	17.0028282657584	17.7598615952671	0.0628455931201542	chr9	67029920	67031028	1109	-	18	662	21	608	ENSMUST00000156899.1
ENSMUSG00000032366.15:E017	ENSMUSG00000032366.15	E017	1771.39705176513	0.000990333555256243	3.74732852506646	0.0528919830415149	0.362737613952625	36.3549635733283	34.7732332225423	-0.064175134552255	chr9	67031029	67031098	70	-	136	3651	141	3482	c("ENSMUST00000113689.7", "ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000113696.7", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113695.7", "ENSMUST00000113685.9", "ENSMUST00000113686.7", "ENSMUST00000113684.7", "ENSMUST00000050905.15", "ENSMUST00000156899.1", "ENSMUST00000139046.7", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E018	ENSMUSG00000032366.15	E018	1158.5381879671	0.00615008158080462	0.95017776289302	0.329674053428783	0.740170882593405	31.2926034564631	30.0121295162758	-0.0602760024705925	chr9	67031452	67031514	63	-	86	2639	92	2051	c("ENSMUST00000113689.7", "ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000113696.7", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113695.7", "ENSMUST00000113685.9", "ENSMUST00000113686.7", "ENSMUST00000113684.7", "ENSMUST00000050905.15", "ENSMUST00000156899.1", "ENSMUST00000139046.7", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E019	ENSMUSG00000032366.15	E019	1061.12442543467	0.00362587655776251	1.24664428384385	0.26419437003145	0.687219482378435	30.3957907804991	29.0555165868504	-0.0650594475946728	chr9	67031951	67032026	76	-	67	2089	97	2177	c("ENSMUST00000113705.7", "ENSMUST00000113690.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113685.9", "ENSMUST00000113695.7", "ENSMUST00000113686.7", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E020	ENSMUSG00000032366.15	E020	127.944755814122	0.00293276081005756	18.2571640693212	1.92998703660831e-05	0.0018931127809751	17.0027867751342	11.5557937147274	-0.557154869673554	chr9	67032220	67032465	246	-	19	268	20	228	ENSMUST00000129466.7
ENSMUSG00000032366.15:E021	ENSMUSG00000032366.15	E021	1154.16669056948	0.00282926879578388	4.1045626226697	0.0427676520756552	0.329408777284747	32.135085307777	29.9277172897276	-0.102667059507678	chr9	67032466	67032541	76	-	94	2278	98	2349	c("ENSMUST00000113689.7", "ENSMUST00000113684.7", "ENSMUST00000129466.7", "ENSMUST00000113697.7", "ENSMUST00000129733.7", "ENSMUST00000050905.15", "ENSMUST00000139046.7", "ENSMUST00000113696.7", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E022	ENSMUSG00000032366.15	E022	157.932176086104	0.00202116921284477	1.687528895855	0.193927035628691	0.616165053314856	14.6485043472776	12.9580923707742	-0.17690002192501	chr9	67032542	67032793	252	-	13	331	15	302	ENSMUST00000129466.7
ENSMUSG00000032366.15:E023	ENSMUSG00000032366.15	E023	2080.39970631516	0.00221581290936166	3.64634575982062	0.0561923740608364	0.372569364592457	38.4836997103635	36.6468623942657	-0.0705578182784269	chr9	67032794	67032825	32	-	143	4151	188	4208	c("ENSMUST00000113689.7", "ENSMUST00000113705.7", "ENSMUST00000129466.7", "ENSMUST00000113697.7", "ENSMUST00000113696.7", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113685.9", "ENSMUST00000113695.7", "ENSMUST00000113684.7", "ENSMUST00000113686.7", "ENSMUST00000050905.15", "ENSMUST00000156899.1", "ENSMUST00000139046.7", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E024	ENSMUSG00000032366.15	E024	2469.10810947818	0.000613308117553684	10.362492222662	0.00128601474226504	0.0434881446462527	40.9291605147292	38.677654980685	-0.0816287492919666	chr9	67032826	67032864	39	-	185	5117	220	4808	c("ENSMUST00000113689.7", "ENSMUST00000113705.7", "ENSMUST00000129466.7", "ENSMUST00000113697.7", "ENSMUST00000113696.7", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113685.9", "ENSMUST00000113686.7", "ENSMUST00000113684.7", "ENSMUST00000050905.15", "ENSMUST00000113695.7", "ENSMUST00000139046.7", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E025	ENSMUSG00000032366.15	E025	120.249934265426	0.00457748425767443	0.33312607484217	0.563824114133554	0.870204900340815	10.5996878665506	11.4816779371072	0.115311711695272	chr9	67033778	67033875	98	-	5	235	9	253	ENSMUST00000131279.1
ENSMUSG00000032366.15:E026	ENSMUSG00000032366.15	E026	3409.06454372276	0.00156522340319312	4.44572960273246	0.0349886366275228	0.298657172013327	44.3162291364985	42.6530881151576	-0.0551849303189338	chr9	67033876	67033993	118	-	238	7330	294	6424	c("ENSMUST00000113689.7", "ENSMUST00000113705.7", "ENSMUST00000129466.7", "ENSMUST00000113684.7", "ENSMUST00000113696.7", "ENSMUST00000113690.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000113686.7", "ENSMUST00000050905.15", "ENSMUST00000113695.7", "ENSMUST00000139046.7", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7", "ENSMUST00000113697.7")
ENSMUSG00000032366.15:E027	ENSMUSG00000032366.15	E027	4122.00678918453	0.00385048598407693	0.913895912151489	0.339082827399738	0.746607991127646	43.9327705410365	45.1274562936829	0.0387079769638961	chr9	67035995	67036128	134	-	247	8117	269	8581	c("ENSMUST00000113689.7", "ENSMUST00000113705.7", "ENSMUST00000129466.7", "ENSMUST00000113684.7", "ENSMUST00000113696.7", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000113686.7", "ENSMUST00000113695.7", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7", "ENSMUST00000113697.7")
ENSMUSG00000032366.15:E028	ENSMUSG00000032366.15	E028	188.562581451805	0.00460200959871014	603.709322783387	2.61213680947151e-133	5.41655300948823e-128	37.8467405186172	11.0633365260221	-1.77438251105432	chr9	67043578	67043709	132	-	153	213	161	238	c("ENSMUST00000113689.7", "ENSMUST00000113684.7", "ENSMUST00000113690.7", "ENSMUST00000113695.7", "ENSMUST00000113686.7", "ENSMUST00000139046.7", "ENSMUST00000113696.7")
ENSMUSG00000032366.15:E029	ENSMUSG00000032366.15	E029	56.3807503099765	0.00359579124842592	278.287052274336	1.77370400085463e-62	4.5974629415152e-58	24.3085447093184	6.23172828347094	-1.96375929014351	chr9	67043710	67043733	24	-	41	67	50	71	c("ENSMUST00000113684.7", "ENSMUST00000113690.7", "ENSMUST00000113695.7", "ENSMUST00000113686.7", "ENSMUST00000139046.7", "ENSMUST00000113696.7")
ENSMUSG00000032366.15:E030	ENSMUSG00000032366.15	E030	42.4818577359539	0.00414251245734922	191.151804901587	1.78205379606324e-43	1.53970190502279e-39	21.0530554352974	5.54794721848318	-1.92400365971679	chr9	67043734	67043778	45	-	29	54	35	55	c("ENSMUST00000139046.7", "ENSMUST00000113690.7", "ENSMUST00000113695.7", "ENSMUST00000113696.7", "ENSMUST00000113686.7")
ENSMUSG00000032366.15:E031	ENSMUSG00000032366.15	E031	3.29639841602521	0.0959570403074219	27.1328254274537	1.89945157205181e-07	NA	8.10640043657344	1.19931698252695	-2.7568484256726	chr9	67043779	67043802	24	-	2	1	6	4	c("ENSMUST00000113690.7", "ENSMUST00000113695.7", "ENSMUST00000113696.7", "ENSMUST00000113686.7")
ENSMUSG00000032366.15:E032	ENSMUSG00000032366.15	E032	3.2667033431243	0.0390931455836028	33.3593621487198	7.66081360831576e-09	NA	8.09964422182115	1.19653728613982	-2.75899318436503	chr9	67043803	67043841	39	-	3	2	5	3	c("ENSMUST00000113690.7", "ENSMUST00000113686.7", "ENSMUST00000113696.7")
ENSMUSG00000032366.15:E033	ENSMUSG00000032366.15	E033	2.49060363281579	0.0741214391105514	29.6279705314682	5.23441381298796e-08	NA	7.58312685260339	0.925899590916501	-3.03386520274383	chr9	67043842	67043907	66	-	5	2	2	1	c("ENSMUST00000113690.7", "ENSMUST00000113696.7")
ENSMUSG00000032366.15:E034	ENSMUSG00000032366.15	E034	0.758158630738075	0.885939734922473	6.87577166980908	0.00873720243410886	NA	4.98230547607729	0.00453037913298715	-10.1029659738776	chr9	67043908	67043962	55	-	3	0	0	0	ENSMUST00000113690.7
ENSMUSG00000032366.15:E035	ENSMUSG00000032366.15	E035	2950.01666478287	0.00800606448377488	228.322075030509	1.38444512418108e-51	1.79424953372071e-47	12.8322300297868	41.3479195432502	1.68804283195728	chr9	67047786	67047911	126	-	6	5865	15	6449	c("ENSMUST00000113697.7", "ENSMUST00000129466.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E036	ENSMUSG00000032366.15	E036	386.378057799813	0.00219713785327299	75.4602915922828	3.72829863519805e-18	6.84162595834781e-15	5.00456674600448	19.7222858755334	1.97850969136541	chr9	67048124	67048249	126	-	1	808	2	808	c("ENSMUST00000113705.7", "ENSMUST00000034928.11", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E037	ENSMUSG00000032366.15	E037	2694.98103251344	0.000974236915489422	462.643651526042	1.27817577171949e-102	8.83479353998419e-98	12.8292697428927	40.2374478926295	1.64909975055066	chr9	67049019	67049118	100	-	7	5781	14	5503	c("ENSMUST00000113697.7", "ENSMUST00000129466.7", "ENSMUST00000113705.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113693.7", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E038	ENSMUSG00000032366.15	E038	1234.17324654085	0.00337785985088711	186.489340779602	1.85638850582611e-42	1.53977030782643e-38	8.57347051988754	31.1255980998739	1.86015033272369	chr9	67049119	67049143	25	-	3	2808	6	2374	c("ENSMUST00000113697.7", "ENSMUST00000113705.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113687.7", "ENSMUST00000113701.7", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E039	ENSMUSG00000032366.15	E039	602.722288166834	0.0408564335634151	37.4189783763147	9.52903492434103e-10	3.80722583997356e-07	7.04022632516083	23.7182567161416	1.75230426252831	chr9	67049144	67049172	29	-	2	1673	4	882	c("ENSMUST00000113697.7", "ENSMUST00000113705.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113693.7", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E040	ENSMUSG00000032366.15	E040	353.688096401035	0.112711486160714	15.3043479255211	9.1505652911361e-05	0.006457121117402	5.77642805113035	18.9881347054666	1.71684863022125	chr9	67049173	67049186	14	-	0	1054	4	451	c("ENSMUST00000113697.7", "ENSMUST00000113705.7", "ENSMUST00000129733.7", "ENSMUST00000030185.4", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E041	ENSMUSG00000032366.15	E041	286.583399834992	0.0678828309468782	19.0512340953882	1.27255451725146e-05	0.00134494483818441	5.00580093850343	17.3263702068293	1.79129662148486	chr9	67049187	67049191	5	-	1	857	2	363	c("ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000030185.4", "ENSMUST00000113685.9", "ENSMUST00000131279.1", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E042	ENSMUSG00000032366.15	E042	212.085771044315	0.0602819270840805	15.3662612780439	8.85554701288515e-05	0.00631244141949939	5.00566949800836	15.1373197016532	1.59647483172171	chr9	67049192	67049201	10	-	1	622	2	279	c("ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000030185.4", "ENSMUST00000113685.9", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E043	ENSMUSG00000032366.15	E043	79.4186730450918	0.0353777859543204	10.7617179085361	0.00103621156373036	0.0375056495141721	2.8999455330396	9.56173398992638	1.72124646636526	chr9	67049202	67049209	8	-	1	215	0	121	c("ENSMUST00000113697.7", "ENSMUST00000113705.7", "ENSMUST00000030185.4", "ENSMUST00000113685.9", "ENSMUST00000050905.15", "ENSMUST00000034928.11", "ENSMUST00000113707.8")
ENSMUSG00000032366.15:E044	ENSMUSG00000032366.15	E044	34.0966229205323	0.00534182983703114	1.91279418755106	0.166653205861682	0.582794377709866	4.09372845228186	6.29622741862566	0.621072243878632	chr9	67049210	67049213	4	-	2	73	0	68	c("ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000030185.4", "ENSMUST00000113685.9", "ENSMUST00000050905.15", "ENSMUST00000113707.8")
ENSMUSG00000032366.15:E045	ENSMUSG00000032366.15	E045	35.029618376098	0.00528291037379986	2.05930163944616	0.151279488325326	0.562508166471257	4.09373031836338	6.38281114669349	0.64077589682495	chr9	67049214	67049262	49	-	2	76	0	69	c("ENSMUST00000050905.15", "ENSMUST00000030185.4", "ENSMUST00000113697.7", "ENSMUST00000113707.8", "ENSMUST00000113705.7")
ENSMUSG00000032366.15:E046	ENSMUSG00000032366.15	E046	18.9969474727798	0.0203476370452816	0.126148272453449	0.722459555644833	0.929052230463848	4.09326028483555	4.68006782819092	0.193279030222782	chr9	67049263	67049264	2	-	2	33	0	44	c("ENSMUST00000050905.15", "ENSMUST00000113697.7", "ENSMUST00000113707.8", "ENSMUST00000113705.7")
ENSMUSG00000032366.15:E047	ENSMUSG00000032366.15	E047	18.5197154850782	0.0211715664558722	0.100067374652482	0.751748796814147	0.938610282989028	4.09323498166592	4.61971852982386	0.174563463386633	chr9	67049265	67049267	3	-	2	32	0	43	c("ENSMUST00000113697.7", "ENSMUST00000113707.8", "ENSMUST00000113705.7")
ENSMUSG00000032366.15:E048	ENSMUSG00000032366.15	E048	18.5197154850782	0.0211715664558722	0.100067374652482	0.751748796814147	0.938610282989028	4.09323498166592	4.61971852982386	0.174563463386633	chr9	67049268	67049275	8	-	2	32	0	43	c("ENSMUST00000113697.7", "ENSMUST00000113707.8")
ENSMUSG00000032366.15:E049	ENSMUSG00000032366.15	E049	8.61838287808708	0.0169350508896643	0.48074543620146	0.488084858556017	0.835263919213625	4.09336552772585	3.11348497589265	-0.394757184227282	chr9	67049276	67049406	131	-	2	17	0	17	ENSMUST00000113707.8
