cluster	status	loglr	df	p	p.adjust	genes	FDR	intron	logef	T01	T02	deltapsi	chr	start	end	clusterID	verdict	gene	ensemblID	transcripts	constitutive.score
chr17:clu_1281	Success	20.5731552976076	4	2.50672013071716e-08	1.10787495184069e-05	Rnps1	1.10787495184069e-05	chr17:24415162:24418038:clu_1281	-0.288986003830629	0.186691235997701	0.149762254421754	-0.0369289815759473	chr17	24415162	24418038	clu_1281	annotated	Rnps1	ENSMUSG00000034681.16	+	1
chr17:clu_1281	Success	20.5731552976076	4	2.50672013071716e-08	1.10787495184069e-05	Rnps1	1.10787495184069e-05	chr17:24418218:24418457:clu_1281	-0.288986003830629	0.413412468667388	0.331636260174811	-0.0817762084925769	chr17	24418218	24418457	clu_1281	annotated	Rnps1	ENSMUSG00000034681.16	+	1
chr5:clu_225	Success	16.4108187628799	2	7.46228733934501e-08	2.31181661772908e-05	Hnrnpd	2.31181661772908e-05	chr5:99967387:99976534:clu_225	0.555654604884603	0.316524166345693	0.390544387275466	0.0740202209297724	chr5	99967387	99976534	clu_225	annotated	Hnrnpd	ENSMUSG00000000568.15	-	1
chr5:clu_225	Success	16.4108187628799	2	7.46228733934501e-08	2.31181661772908e-05	Hnrnpd	2.31181661772908e-05	chr5:99967387:99978392:clu_225	-1.297131721353	0.314206301053605	0.0607887956942709	-0.253417505359334	chr5	99967387	99978392	clu_225	annotated	Hnrnpd	ENSMUSG00000000568.15	-	1
chr5:clu_225	Success	16.4108187628799	2	7.46228733934501e-08	2.31181661772908e-05	Hnrnpd	2.31181661772908e-05	chr5:99976590:99978392:clu_225	0.741477116468402	0.369269532600702	0.548666817030263	0.179397284429561	chr5	99976590	99978392	clu_225	annotated	Hnrnpd	ENSMUSG00000000568.15	-	1
chr14:clu_1512	Success	15.001629776154	2	3.05404174238132e-07	7.88451776491443e-05	Ktn1	7.88451776491444e-05	chr14:47724970:47725929:clu_1512	-0.465780475945395	0.333876435583808	0.165653618720993	-0.168222816862815	chr14	47724970	47725929	clu_1512	annotated	Ktn1	ENSMUSG00000021843.16	+	1
chr14:clu_1512	Success	15.001629776154	2	3.05404174238132e-07	7.88451776491443e-05	Ktn1	7.88451776491444e-05	chr14:47724970:47726226:clu_1512	0.931562074235399	0.333562353881606	0.669345499904838	0.335783146023231	chr14	47724970	47726226	clu_1512	annotated	Ktn1	ENSMUSG00000021843.16	+	1
chr14:clu_1512	Success	15.001629776154	2	3.05404174238132e-07	7.88451776491443e-05	Ktn1	7.88451776491444e-05	chr14:47726000:47726226:clu_1512	-0.465781598290004	0.332561210534585	0.165000881374169	-0.167560329160416	chr14	47726000	47726226	clu_1512	annotated	Ktn1	ENSMUSG00000021843.16	+	1
chr16:clu_1395	Success	12.4811667683407	2	3.79750316763196e-06	0.0002178641632097	Eif4a2	0.0002178641632097	chr16:23108851:23109120:clu_1395	-0.468302344682988	0.535490778499113	0.419432371979656	-0.116058406519456	chr16	23108851	23109120	clu_1395	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr16:clu_1395	Success	12.4811667683407	2	3.79750316763196e-06	0.0002178641632097	Eif4a2	0.0002178641632097	chr16:23108851:23109985:clu_1395	0.936608414918513	0.0899805613909548	0.28721269951779	0.197232138126835	chr16	23108851	23109985	clu_1395	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr16:clu_1395	Success	12.4811667683407	2	3.79750316763196e-06	0.0002178641632097	Eif4a2	0.0002178641632097	chr16:23109259:23109985:clu_1395	-0.468306070235525	0.374528660109933	0.293354928502554	-0.0811737316073788	chr16	23109259	23109985	clu_1395	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr16:clu_1394	Success	3.04384927421148	1	0.013612628835355	0.0409436156620677	Eif4a2	0.0409436156620678	chr16:23107820:23108585:clu_1394	0.457475813673377	0.126452585080999	0.265467198519658	0.139014613438659	chr16	23107820	23108585	clu_1394	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr16:clu_1394	Success	3.04384927421148	1	0.013612628835355	0.0409436156620677	Eif4a2	0.0409436156620678	chr16:23107820:23108588:clu_1394	-0.457475813673377	0.873547414919001	0.734532801480342	-0.139014613438659	chr16	23107820	23108588	clu_1394	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
